Restaurant Name,Country Code,City,Locality,Cuisines,Avg_Cost,Currency,Accepts_Table_Booking,Online Delivery,Is delivering now,Switch to order menu,Price range,Aggregate_Rating,Rating_Schema,Rating,Votes,Country,Exchange Rate (to INR),Converted Cost (INR)
Le Petit Souffle,162,Makati City,"Century City Mall, Poblacion, Makati City",French,1100,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent,314,Phillipines,6.1,6710.0
Le Petit Souffle,162,Makati City,"Century City Mall, Poblacion, Makati City",Japanese,1100,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent,314,Phillipines,6.1,6710.0
Le Petit Souffle,162,Makati City,"Century City Mall, Poblacion, Makati City",Desserts,1100,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent,314,Phillipines,6.1,6710.0
Izakaya Kikufuji,162,Makati City,"Little Tokyo, Legaspi Village, Makati City",Japanese,1200,Botswana Pula(P),Yes,No,No,No,3,4.5,Dark Green,Excellent,591,Phillipines,6.1,7320.0
Heat - Edsa Shangri-La,162,Mandaluyong City,"Edsa Shangri-La, Ortigas, Mandaluyong City",Seafood,4000,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good,270,Phillipines,6.1,24400.0
Heat - Edsa Shangri-La,162,Mandaluyong City,"Edsa Shangri-La, Ortigas, Mandaluyong City",Asian,4000,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good,270,Phillipines,6.1,24400.0
Heat - Edsa Shangri-La,162,Mandaluyong City,"Edsa Shangri-La, Ortigas, Mandaluyong City",Filipino,4000,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good,270,Phillipines,6.1,24400.0
Heat - Edsa Shangri-La,162,Mandaluyong City,"Edsa Shangri-La, Ortigas, Mandaluyong City",Indian,4000,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good,270,Phillipines,6.1,24400.0
Ooma,162,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",Japanese,1500,Botswana Pula(P),No,No,No,No,4,4.9,Dark Green,Excellent,365,Phillipines,6.1,9150.0
Ooma,162,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",Sushi,1500,Botswana Pula(P),No,No,No,No,4,4.9,Dark Green,Excellent,365,Phillipines,6.1,9150.0
Sambo Kojin,162,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",Japanese,1500,Botswana Pula(P),Yes,No,No,No,4,4.8,Dark Green,Excellent,229,Phillipines,6.1,9150.0
Sambo Kojin,162,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",Korean,1500,Botswana Pula(P),Yes,No,No,No,4,4.8,Dark Green,Excellent,229,Phillipines,6.1,9150.0
Din Tai Fung,162,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",Chinese,1000,Botswana Pula(P),No,No,No,No,3,4.4,Green,Very Good,336,Phillipines,6.1,6100.0
Buffet 101,162,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City",Asian,2000,Botswana Pula(P),Yes,No,No,No,4,4.0,Green,Very Good,520,Phillipines,6.1,12200.0
Buffet 101,162,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City",European,2000,Botswana Pula(P),Yes,No,No,No,4,4.0,Green,Very Good,520,Phillipines,6.1,12200.0
Vikings,162,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City",Seafood,2000,Botswana Pula(P),Yes,No,No,No,4,4.2,Green,Very Good,677,Phillipines,6.1,12200.0
Vikings,162,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City",Filipino,2000,Botswana Pula(P),Yes,No,No,No,4,4.2,Green,Very Good,677,Phillipines,6.1,12200.0
Vikings,162,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City",Asian,2000,Botswana Pula(P),Yes,No,No,No,4,4.2,Green,Very Good,677,Phillipines,6.1,12200.0
Vikings,162,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City",European,2000,Botswana Pula(P),Yes,No,No,No,4,4.2,Green,Very Good,677,Phillipines,6.1,12200.0
Spiral - Sofitel Philippine Plaza Manila,162,Pasay City,"Sofitel Philippine Plaza Manila, Pasay City",European,6000,Botswana Pula(P),Yes,No,No,No,4,4.9,Dark Green,Excellent,621,Phillipines,6.1,36600.0
Spiral - Sofitel Philippine Plaza Manila,162,Pasay City,"Sofitel Philippine Plaza Manila, Pasay City",Asian,6000,Botswana Pula(P),Yes,No,No,No,4,4.9,Dark Green,Excellent,621,Phillipines,6.1,36600.0
Spiral - Sofitel Philippine Plaza Manila,162,Pasay City,"Sofitel Philippine Plaza Manila, Pasay City",Indian,6000,Botswana Pula(P),Yes,No,No,No,4,4.9,Dark Green,Excellent,621,Phillipines,6.1,36600.0
Locavore,162,Pasig City,Kapitolyo,Filipino,1100,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent,532,Phillipines,6.1,6710.0
Silantro Fil-Mex,162,Pasig City,Kapitolyo,Filipino,800,Botswana Pula(P),No,No,No,No,3,4.9,Dark Green,Excellent,1070,Phillipines,6.1,4880.0
Silantro Fil-Mex,162,Pasig City,Kapitolyo,Mexican,800,Botswana Pula(P),No,No,No,No,3,4.9,Dark Green,Excellent,1070,Phillipines,6.1,4880.0
Mad Mark's Creamery & Good Eats,162,Pasig City,Kapitolyo,American,900,Botswana Pula(P),Yes,No,No,No,3,4.2,Green,Very Good,488,Phillipines,6.1,5490.0
Mad Mark's Creamery & Good Eats,162,Pasig City,Kapitolyo,Ice Cream,900,Botswana Pula(P),Yes,No,No,No,3,4.2,Green,Very Good,488,Phillipines,6.1,5490.0
Mad Mark's Creamery & Good Eats,162,Pasig City,Kapitolyo,Desserts,900,Botswana Pula(P),Yes,No,No,No,3,4.2,Green,Very Good,488,Phillipines,6.1,5490.0
Silantro Fil-Mex,162,Quezon City,"UP Town Center, Diliman, Quezon City",Filipino,800,Botswana Pula(P),No,No,No,No,3,4.8,Dark Green,Excellent,294,Phillipines,6.1,4880.0
Silantro Fil-Mex,162,Quezon City,"UP Town Center, Diliman, Quezon City",Mexican,800,Botswana Pula(P),No,No,No,No,3,4.8,Dark Green,Excellent,294,Phillipines,6.1,4880.0
Guevarra's,162,San Juan City,Addition Hills,Filipino,1000,Botswana Pula(P),Yes,No,No,No,3,4.2,Green,Very Good,458,Phillipines,6.1,6100.0
Sodam Korean Restaurant,162,San Juan City,Little Baguio,Korean,700,Botswana Pula(P),No,No,No,No,3,4.3,Green,Very Good,223,Phillipines,6.1,4270.0
Cafe Arabelle,162,Santa Rosa,"Nuvali, Don Jose, Santa Rosa",Cafe,800,Botswana Pula(P),No,No,No,No,3,3.6,Yellow,Good,29,Phillipines,6.1,4880.0
Cafe Arabelle,162,Santa Rosa,"Nuvali, Don Jose, Santa Rosa",American,800,Botswana Pula(P),No,No,No,No,3,3.6,Yellow,Good,29,Phillipines,6.1,4880.0
Cafe Arabelle,162,Santa Rosa,"Nuvali, Don Jose, Santa Rosa",Italian,800,Botswana Pula(P),No,No,No,No,3,3.6,Yellow,Good,29,Phillipines,6.1,4880.0
Cafe Arabelle,162,Santa Rosa,"Nuvali, Don Jose, Santa Rosa",Filipino,800,Botswana Pula(P),No,No,No,No,3,3.6,Yellow,Good,29,Phillipines,6.1,4880.0
Nonna's Pasta & Pizzeria,162,Santa Rosa,"Solenad 3, Don Jose, Santa Rosa",Italian,850,Botswana Pula(P),No,No,No,No,3,4.0,Green,Very Good,72,Phillipines,6.1,5185.0
Nonna's Pasta & Pizzeria,162,Santa Rosa,"Solenad 3, Don Jose, Santa Rosa",Pizza,850,Botswana Pula(P),No,No,No,No,3,4.0,Green,Very Good,72,Phillipines,6.1,5185.0
Balay Dako,162,Tagaytay City,Tagaytay City,Filipino,1200,Botswana Pula(P),Yes,No,No,No,3,4.5,Dark Green,Excellent,211,Phillipines,6.1,7320.0
Hobing Korean Dessert Cafe,162,Taguig City,"BGC Stopover Pavillion, Bonifacio Global City",Cafe,600,Botswana Pula(P),No,No,No,No,2,4.5,Dark Green,Excellent,118,Phillipines,6.1,3660.0
Hobing Korean Dessert Cafe,162,Taguig City,"BGC Stopover Pavillion, Bonifacio Global City",Korean,600,Botswana Pula(P),No,No,No,No,2,4.5,Dark Green,Excellent,118,Phillipines,6.1,3660.0
Hobing Korean Dessert Cafe,162,Taguig City,"BGC Stopover Pavillion, Bonifacio Global City",Desserts,600,Botswana Pula(P),No,No,No,No,2,4.5,Dark Green,Excellent,118,Phillipines,6.1,3660.0
Wildflour Cafe + Bakery,162,Taguig City,Bonifacio Global City,Cafe,1500,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good,392,Phillipines,6.1,9150.0
Wildflour Cafe + Bakery,162,Taguig City,Bonifacio Global City,Bakery,1500,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good,392,Phillipines,6.1,9150.0
Wildflour Cafe + Bakery,162,Taguig City,Bonifacio Global City,American,1500,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good,392,Phillipines,6.1,9150.0
Wildflour Cafe + Bakery,162,Taguig City,Bonifacio Global City,Italian,1500,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good,392,Phillipines,6.1,9150.0
NIU by Vikings,162,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City",Seafood,3000,Botswana Pula(P),Yes,No,No,No,4,4.7,Dark Green,Excellent,535,Phillipines,6.1,18300.0
NIU by Vikings,162,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City",American,3000,Botswana Pula(P),Yes,No,No,No,4,4.7,Dark Green,Excellent,535,Phillipines,6.1,18300.0
NIU by Vikings,162,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City",Mediterranean,3000,Botswana Pula(P),Yes,No,No,No,4,4.7,Dark Green,Excellent,535,Phillipines,6.1,18300.0
NIU by Vikings,162,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City",Japanese,3000,Botswana Pula(P),Yes,No,No,No,4,4.7,Dark Green,Excellent,535,Phillipines,6.1,18300.0
The Food Hall by Todd English,162,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City",American,1800,Botswana Pula(P),Yes,No,No,No,4,4.5,Dark Green,Excellent,618,Phillipines,6.1,10980.0
The Food Hall by Todd English,162,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City",Asian,1800,Botswana Pula(P),Yes,No,No,No,4,4.5,Dark Green,Excellent,618,Phillipines,6.1,10980.0
The Food Hall by Todd English,162,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City",Italian,1800,Botswana Pula(P),Yes,No,No,No,4,4.5,Dark Green,Excellent,618,Phillipines,6.1,10980.0
The Food Hall by Todd English,162,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City",Seafood,1800,Botswana Pula(P),Yes,No,No,No,4,4.5,Dark Green,Excellent,618,Phillipines,6.1,10980.0
Chez Michou,30,Bras韄lia,Asa Norte,Fast Food,55,Brazilian Real(R$),No,No,No,No,2,3.0,Orange,Average,6,Brazil,17.2,946.0
Chez Michou,30,Bras韄lia,Asa Norte,French,55,Brazilian Real(R$),No,No,No,No,2,3.0,Orange,Average,6,Brazil,17.2,946.0
Caf愆 Daniel Briand,30,Bras韄lia,Asa Norte,Cafe,30,Brazilian Real(R$),No,No,No,No,1,3.8,Yellow,Good,9,Brazil,17.2,516.0
Casa do Biscoito Mineiro,30,Bras韄lia,Asa Norte,Bakery,45,Brazilian Real(R$),No,No,No,No,2,3.7,Yellow,Good,11,Brazil,17.2,774.0
Maori,30,Bras韄lia,Asa Norte,Brazilian,60,Brazilian Real(R$),No,No,No,No,3,3.8,Yellow,Good,11,Brazil,17.2,1032.0
Pizza 礞 Bessa,30,Bras韄lia,Asa Sul,Pizza,50,Brazilian Real(R$),No,No,No,No,2,3.2,Orange,Average,11,Brazil,17.2,860.0
Sushi Loko,30,Bras韄lia,Asa Sul,Japanese,80,Brazilian Real(R$),No,No,No,No,3,3.1,Orange,Average,10,Brazil,17.2,1376.0
Beirute,30,Bras韄lia,Asa Sul,Arabian,90,Brazilian Real(R$),No,No,No,No,3,3.7,Yellow,Good,8,Brazil,17.2,1548.0
New Koto,30,Bras韄lia,Asa Sul,Japanese,200,Brazilian Real(R$),No,No,No,No,4,3.7,Yellow,Good,5,Brazil,17.2,3440.0
Sandubas Caf愆,30,Bras韄lia,Asa Sul,Brazilian,30,Brazilian Real(R$),No,No,No,No,1,0.0,White,Not rated,2,Brazil,17.2,516.0
Sandubas Caf愆,30,Bras韄lia,Asa Sul,Cafe,30,Brazilian Real(R$),No,No,No,No,1,0.0,White,Not rated,2,Brazil,17.2,516.0
Villa Tevere,30,Bras韄lia,Asa Sul,Italian,150,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,12,Brazil,17.2,2580.0
Rovereto,30,Bras韄lia,韥guas Claras,Pizza,100,Brazilian Real(R$),No,No,No,No,4,3.1,Orange,Average,9,Brazil,17.2,1720.0
Buena Carne,30,Bras韄lia,韥guas Claras,Bar Food,60,Brazilian Real(R$),No,No,No,No,3,3.6,Yellow,Good,9,Brazil,17.2,1032.0
Buena Carne,30,Bras韄lia,韥guas Claras,Brazilian,60,Brazilian Real(R$),No,No,No,No,3,3.6,Yellow,Good,9,Brazil,17.2,1032.0
Taco Pep,30,Bras韄lia,韥guas Claras,Mexican,100,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,29,Brazil,17.2,1720.0
Taco Pep,30,Bras韄lia,韥guas Claras,Grill,100,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,29,Brazil,17.2,1720.0
Coco Bambu,30,Bras韄lia,"Bras韄lia Shopping, Asa Norte",International,230,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,17,Brazil,17.2,3956.0
Tayp礴,30,Bras韄lia,Lago Sul,Peruvian,100,Brazilian Real(R$),No,No,No,No,4,3.6,Yellow,Good,5,Brazil,17.2,1720.0
Tayp礴,30,Bras韄lia,Lago Sul,Latin American,100,Brazilian Real(R$),No,No,No,No,4,3.6,Yellow,Good,5,Brazil,17.2,1720.0
Outback Steakhouse,30,Bras韄lia,"ParkShopping, Guar礴 I",American,150,Brazilian Real(R$),No,No,No,No,4,4.0,Green,Very Good,10,Brazil,17.2,2580.0
Outback Steakhouse,30,Bras韄lia,"ParkShopping, Guar礴 I",Grill,150,Brazilian Real(R$),No,No,No,No,4,4.0,Green,Very Good,10,Brazil,17.2,2580.0
Manzu礴,30,Bras韄lia,"Pont恚o Lago Sul, Lago Sul",Seafood,240,Brazilian Real(R$),No,No,No,No,4,3.2,Orange,Average,6,Brazil,17.2,4128.0
Coco Bambu,30,Bras韄lia,Setor De Clubes Esportivos Sul,International,230,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,30,Brazil,17.2,3956.0
Gero,30,Bras韄lia,"Shopping Iguatemi, Lago Norte",Italian,350,Brazilian Real(R$),No,No,No,No,4,3.3,Orange,Average,8,Brazil,17.2,6020.0
Brazilian American Burgers,30,Bras韄lia,Sudoeste,American,50,Brazilian Real(R$),No,No,No,No,2,3.6,Yellow,Good,9,Brazil,17.2,860.0
Brazilian American Burgers,30,Bras韄lia,Sudoeste,Burger,50,Brazilian Real(R$),No,No,No,No,2,3.6,Yellow,Good,9,Brazil,17.2,860.0
Pesqueiro Eco Gourmet,30,Rio de Janeiro,Barra da Tijuca,Seafood,140,Brazilian Real(R$),No,No,No,No,4,4.0,Green,Very Good,7,Brazil,17.2,2408.0
Pesqueiro Eco Gourmet,30,Rio de Janeiro,Barra da Tijuca,Bar Food,140,Brazilian Real(R$),No,No,No,No,4,4.0,Green,Very Good,7,Brazil,17.2,2408.0
Pesqueiro Eco Gourmet,30,Rio de Janeiro,Barra da Tijuca,Brazilian,140,Brazilian Real(R$),No,No,No,No,4,4.0,Green,Very Good,7,Brazil,17.2,2408.0
Confeitaria Colombo,30,Rio de Janeiro,Centro,Desserts,100,Brazilian Real(R$),No,No,No,No,4,4.8,Dark Green,Excellent,29,Brazil,17.2,1720.0
Confeitaria Colombo,30,Rio de Janeiro,Centro,Cafe,100,Brazilian Real(R$),No,No,No,No,4,4.8,Dark Green,Excellent,29,Brazil,17.2,1720.0
Bibi,30,Rio de Janeiro,Copacabana,Juices,60,Brazilian Real(R$),No,No,No,No,3,4.7,Dark Green,Excellent,24,Brazil,17.2,1032.0
Bibi,30,Rio de Janeiro,Copacabana,Healthy Food,60,Brazilian Real(R$),No,No,No,No,3,4.7,Dark Green,Excellent,24,Brazil,17.2,1032.0
Cervantes,30,Rio de Janeiro,Copacabana,Beverages,90,Brazilian Real(R$),No,No,No,No,3,4.5,Dark Green,Excellent,29,Brazil,17.2,1548.0
Cervantes,30,Rio de Janeiro,Copacabana,Bar Food,90,Brazilian Real(R$),No,No,No,No,3,4.5,Dark Green,Excellent,29,Brazil,17.2,1548.0
Cervantes,30,Rio de Janeiro,Copacabana,Fast Food,90,Brazilian Real(R$),No,No,No,No,3,4.5,Dark Green,Excellent,29,Brazil,17.2,1548.0
Amir,30,Rio de Janeiro,Copacabana,Lebanese,170,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,11,Brazil,17.2,2924.0
TT Burger,30,Rio de Janeiro,"Galeria River, Copacabana",Burger,60,Brazilian Real(R$),No,No,No,No,3,4.8,Dark Green,Excellent,19,Brazil,17.2,1032.0
Braseiro da G礴vea,30,Rio de Janeiro,G礴vea,Brazilian,100,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,40,Brazil,17.2,1720.0
Braseiro da G礴vea,30,Rio de Janeiro,G礴vea,Bar Food,100,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,40,Brazil,17.2,1720.0
Balada Mix,30,Rio de Janeiro,Ipanema,Brazilian,90,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,21,Brazil,17.2,1548.0
Balada Mix,30,Rio de Janeiro,Ipanema,Healthy Food,90,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,21,Brazil,17.2,1548.0
Balada Mix,30,Rio de Janeiro,Ipanema,Juices,90,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,21,Brazil,17.2,1548.0
Balada Mix,30,Rio de Janeiro,Ipanema,Pizza,90,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,21,Brazil,17.2,1548.0
Garota de Ipanema,30,Rio de Janeiro,Ipanema,Brazilian,120,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,49,Brazil,17.2,2064.0
Garota de Ipanema,30,Rio de Janeiro,Ipanema,Bar Food,120,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,49,Brazil,17.2,2064.0
Zaz礴 Bistr砬 Tropical,30,Rio de Janeiro,Ipanema,Brazilian,170,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,21,Brazil,17.2,2924.0
Fil愆 de Ouro,30,Rio de Janeiro,Lagoa,Brazilian,90,Brazilian Real(R$),No,No,No,No,3,4.3,Green,Very Good,14,Brazil,17.2,1548.0
D.O.C Ristorante,30,Rio de Janeiro,"Le Monde, Barra da Tijuca",Italian,150,Brazilian Real(R$),No,No,No,No,4,4.0,Green,Very Good,5,Brazil,17.2,2580.0
Sushi Leblon,30,Rio de Janeiro,Leblon,Japanese,250,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,25,Brazil,17.2,4300.0
Talho Capixaba,30,Rio de Janeiro,Leblon,Bakery,120,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,13,Brazil,17.2,2064.0
Talho Capixaba,30,Rio de Janeiro,Leblon,Sandwich,120,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,13,Brazil,17.2,2064.0
Talho Capixaba,30,Rio de Janeiro,Leblon,Brazilian,120,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,13,Brazil,17.2,2064.0
Leme Light,30,Rio de Janeiro,Leme,Brazilian,40,Brazilian Real(R$),No,No,No,No,2,4.2,Green,Very Good,7,Brazil,17.2,688.0
Shirley,30,Rio de Janeiro,Leme,Brazilian,250,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,8,Brazil,17.2,4300.0
Shirley,30,Rio de Janeiro,Leme,Seafood,250,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,8,Brazil,17.2,4300.0
Quiosque Chopp Brahma,30,Rio de Janeiro,Madureira,Bar Food,70,Brazilian Real(R$),No,No,No,No,3,0.0,White,Not rated,1,Brazil,17.2,1204.0
Quiosque Chopp Brahma,30,Rio de Janeiro,Madureira,Brazilian,70,Brazilian Real(R$),No,No,No,No,3,0.0,White,Not rated,1,Brazil,17.2,1204.0
Apraz韄vel,30,Rio de Janeiro,Santa Teresa,Brazilian,300,Brazilian Real(R$),No,No,No,No,4,4.7,Dark Green,Excellent,44,Brazil,17.2,5160.0
Aconchego Carioca,30,Rio de Janeiro,Tijuca,Brazilian,85,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,24,Brazil,17.2,1462.0
Aconchego Carioca,30,Rio de Janeiro,Tijuca,Bar Food,85,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,24,Brazil,17.2,1462.0
Garota de Ipanema,30,Rio de Janeiro,Urca,Brazilian,80,Brazilian Real(R$),No,No,No,No,3,4.3,Green,Very Good,10,Brazil,17.2,1376.0
Garota de Ipanema,30,Rio de Janeiro,Urca,Bar Food,80,Brazilian Real(R$),No,No,No,No,3,4.3,Green,Very Good,10,Brazil,17.2,1376.0
Cantina Famiglia Mancini,30,S恚o Paulo,"Bela Vista, Centro",Italian,250,Brazilian Real(R$),No,No,No,No,4,4.5,Dark Green,Excellent,49,Brazil,17.2,4300.0
Cantina Famiglia Mancini,30,S恚o Paulo,"Bela Vista, Centro",Pizza,250,Brazilian Real(R$),No,No,No,No,4,4.5,Dark Green,Excellent,49,Brazil,17.2,4300.0
Templo da Carne - Marcos Bassi,30,S恚o Paulo,"Bela Vista, Centro",Steak,250,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,17,Brazil,17.2,4300.0
Templo da Carne - Marcos Bassi,30,S恚o Paulo,"Bela Vista, Centro",BBQ,250,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,17,Brazil,17.2,4300.0
Gopala Hari,30,S恚o Paulo,Consola韄恚o,Indian,70,Brazilian Real(R$),No,No,No,No,3,3.1,Orange,Average,5,Brazil,17.2,1204.0
Jiquitaia,30,S恚o Paulo,Consola韄恚o,Brazilian,100,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,15,Brazil,17.2,1720.0
Skye - Hotel Unique,30,S恚o Paulo,"Hotel Unique, Jardim Paulista",Beverages,300,Brazilian Real(R$),No,No,No,No,4,4.8,Dark Green,Excellent,59,Brazil,17.2,5160.0
Skye - Hotel Unique,30,S恚o Paulo,"Hotel Unique, Jardim Paulista",International,300,Brazilian Real(R$),No,No,No,No,4,4.8,Dark Green,Excellent,59,Brazil,17.2,5160.0
Les 3 Brasseurs,30,S恚o Paulo,Itaim Bibi,French,120,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,30,Brazil,17.2,2064.0
Les 3 Brasseurs,30,S恚o Paulo,Itaim Bibi,Brazilian,120,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,30,Brazil,17.2,2064.0
Les 3 Brasseurs,30,S恚o Paulo,Itaim Bibi,Beverages,120,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,30,Brazil,17.2,2064.0
Red Steak & Burger,30,S恚o Paulo,Itaim Bibi,Brazilian,75,Brazilian Real(R$),No,No,No,No,3,3.9,Yellow,Good,5,Brazil,17.2,1290.0
Red Steak & Burger,30,S恚o Paulo,Itaim Bibi,Grill,75,Brazilian Real(R$),No,No,No,No,3,3.9,Yellow,Good,5,Brazil,17.2,1290.0
Cantinho da Gula,30,S恚o Paulo,Itaim Bibi,Brazilian,55,Brazilian Real(R$),No,No,No,No,2,0.0,White,Not rated,0,Brazil,17.2,946.0
Paris 6 Classique,30,S恚o Paulo,Jardim Paulista,French,200,Brazilian Real(R$),No,No,No,No,4,3.4,Orange,Average,73,Brazil,17.2,3440.0
Kawa Sushi,30,S恚o Paulo,Jardim Paulista,Sushi,120,Brazilian Real(R$),No,No,No,No,4,3.5,Yellow,Good,9,Brazil,17.2,2064.0
Kawa Sushi,30,S恚o Paulo,Jardim Paulista,Japanese,120,Brazilian Real(R$),No,No,No,No,4,3.5,Yellow,Good,9,Brazil,17.2,2064.0
A Figueira Rubaiyat,30,S恚o Paulo,Jardim Paulista,BBQ,300,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,39,Brazil,17.2,5160.0
A Figueira Rubaiyat,30,S恚o Paulo,Jardim Paulista,Grill,300,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,39,Brazil,17.2,5160.0
A Figueira Rubaiyat,30,S恚o Paulo,Jardim Paulista,Brazilian,300,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,39,Brazil,17.2,5160.0
Kinoshita,30,S恚o Paulo,Moema,Sushi,230,Brazilian Real(R$),No,No,No,No,4,3.9,Yellow,Good,12,Brazil,17.2,3956.0
Meats,30,S恚o Paulo,Pinheiros,Gourmet Fast Food,120,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,68,Brazil,17.2,2064.0
Meats,30,S恚o Paulo,Pinheiros,Burger,120,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,68,Brazil,17.2,2064.0
Paribar,30,S恚o Paulo,Rep韄blica,Brazilian,150,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,46,Brazil,17.2,2580.0
Paribar,30,S恚o Paulo,Rep韄blica,Italian,150,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,46,Brazil,17.2,2580.0
Terra韄o It礴lia,30,S恚o Paulo,Rep韄blica,Italian,400,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,37,Brazil,17.2,6880.0
Divino Fog恚o,30,S恚o Paulo,"Shopping Metr砬 Santa Cruz, Vila Mariana",Brazilian,65,Brazilian Real(R$),No,No,No,No,3,0.0,White,Not rated,2,Brazil,17.2,1118.0
Divino Fog恚o,30,S恚o Paulo,"Shopping Metr砬 Santa Cruz, Vila Mariana",Mineira,65,Brazilian Real(R$),No,No,No,No,3,0.0,White,Not rated,2,Brazil,17.2,1118.0
Super Grill,30,S恚o Paulo,"Shopping Morumbi, Santo Amaro",Brazilian,50,Brazilian Real(R$),No,No,No,No,2,0.0,White,Not rated,2,Brazil,17.2,860.0
Esquina Mocot韄,30,S恚o Paulo,Vila Maria,Brazilian,100,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,22,Brazil,17.2,1720.0
Esquina Mocot韄,30,S恚o Paulo,Vila Maria,North Eastern,100,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,22,Brazil,17.2,1720.0
Veloso,30,S恚o Paulo,Vila Mariana,Brazilian,70,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,58,Brazil,17.2,1204.0
Veloso,30,S恚o Paulo,Vila Mariana,Bar Food,70,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,58,Brazil,17.2,1204.0
Veloso,30,S恚o Paulo,Vila Mariana,Beverages,70,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,58,Brazil,17.2,1204.0
